timestamp,open,high,low,close,volume
2020-12-04,215.7000,242.0000,208.5188,232.7100,133276852
2020-11-27,203.2400,222.9500,201.8700,216.5000,88412896
2020-11-20,194.5600,223.0200,191.3501,199.6200,197319766
2020-11-13,179.0000,193.9500,172.1600,187.1100,165447446
2020-11-06,145.7500,158.4700,143.3800,157.7400,58773018
2020-10-30,164.9500,165.5000,141.5800,144.3900,81869792
2020-10-23,169.0900,170.8400,163.8200,167.3600,64552528
2020-10-16,167.7500,173.4200,158.7300,167.3500,82908497
2020-10-09,169.4900,175.5600,159.3300,167.3300,130238342
2020-10-02,160.3300,172.7600,159.2000,168.0800,159676687
2020-09-25,157.8300,160.4200,145.0200,156.0300,115362900
2020-09-18,161.7500,170.5700,158.9000,161.1400,95771335
2020-09-11,165.8000,166.9000,156.3200,160.2300,73829106
2020-09-04,174.6500,180.8500,164.0000,171.0500,98480457
2020-08-28,168.7800,181.3100,167.9300,175.8000,136757400
2020-08-21,178.2400,178.2900,165.8600,167.5000,110489356
2020-08-14,171.3600,189.9700,171.3300,178.0800,192969507
2020-08-07,156.5100,175.5700,153.4100,170.0200,168164506
2020-07-31,173.1900,174.1400,156.2600,158.0000,166729263
2020-07-24,175.1300,182.9500,171.6200,173.7600,153926178
2020-07-17,180.2000,189.5300,173.4100,175.6600,190649700
2020-07-10,184.5200,189.3600,169.7500,178.4400,198773200
2020-07-02,181.0000,194.5000,176.2700,180.8100,233949200
2020-06-26,184.5600,190.1200,167.6000,170.0100,268004899
2020-06-19,177.1800,208.3000,175.8900,187.0200,334861820
2020-06-12,222.9400,234.2000,166.0100,189.5100,428086012
2020-06-05,145.4500,218.7900,144.5500,205.4300,284497400
2020-05-29,145.2100,156.7000,141.2400,145.8500,131275516
2020-05-22,126.1800,144.2390,125.7998,137.5300,167095041
2020-05-15,130.9200,133.1200,113.8900,120.0000,132649417
2020-05-08,127.1150,135.5500,121.3700,133.4400,142936378
2020-05-01,129.9700,147.1800,123.8300,133.3700,206761312
2020-04-24,147.2100,151.6299,128.3300,128.9800,146212437
2020-04-17,155.5000,156.0000,132.9000,154.0000,191299719
2020-04-09,133.7000,164.8000,129.2100,151.8400,186420771
2020-04-03,153.8100,160.6400,120.0204,124.5200,201900169
2020-03-27,98.7500,186.4800,93.5600,162.0000,276972391
2020-03-20,149.4200,151.0000,89.0000,95.0100,224078449
2020-03-13,238.0035,241.4800,154.8130,170.2000,105695959
2020-03-06,279.5400,297.4400,249.8000,262.3300,52916222
2020-02-28,320.0000,321.7400,269.6000,275.1100,47402072
2020-02-21,338.7700,341.4742,330.2300,330.3800,14341566
2020-02-14,337.2200,349.9500,336.3201,340.4900,23563513
2020-02-07,318.7500,343.4400,314.8800,336.7500,32853715
2020-01-31,316.2100,327.1750,314.0000,318.2700,36419241
2020-01-24,322.6000,326.5999,302.7200,323.0500,65556355
2020-01-17,332.4000,335.3500,323.0000,324.1500,32196675
2020-01-10,329.3000,344.1900,327.8800,329.9200,38828886
2020-01-03,330.5000,334.8900,323.3200,332.7600,17903055
2019-12-27,336.7500,340.5899,329.1700,330.1400,22368810
2019-12-20,328.5300,336.2330,320.6100,328.0000,51978523
2019-12-13,352.6700,353.6000,338.5000,341.6700,23567388
2019-12-06,367.0800,367.3800,345.5900,354.0900,20144684
2019-11-29,372.5200,374.7700,366.1800,366.1800,11716885
2019-11-22,371.6700,375.6026,361.6101,371.3400,20881178
2019-11-15,349.0400,373.4800,345.5643,371.6800,31559441
2019-11-08,346.4600,361.6100,346.0500,351.0000,19026739
2019-11-01,341.5000,350.0000,339.2180,345.1900,20732751
2019-10-25,332.8900,350.8000,324.4000,339.8300,43938991
2019-10-18,374.2500,378.7000,344.0000,344.0000,24594398
2019-10-11,374.0600,378.1500,368.6400,374.9200,15507659
2019-10-04,383.0000,383.7700,363.2300,375.7000,14611252
2019-09-27,376.6100,391.0000,374.4200,382.8600,16694080
2019-09-20,378.1400,388.5200,375.0000,379.3900,20463256
2019-09-13,357.9800,384.0000,354.7300,379.7600,25262512
2019-09-06,354.1100,364.9100,350.6050,363.0000,13673528
2019-08-30,365.0400,367.3400,351.1800,364.0900,16674776
2019-08-23,334.1800,369.6900,328.8800,356.0100,27494374
2019-08-16,333.6800,337.3990,319.5500,330.4500,19964197
2019-08-09,332.4600,339.0800,324.5700,337.5500,20492849
2019-08-02,344.9900,351.2850,332.3200,339.5600,25004935
2019-07-26,376.9400,382.4800,342.0000,345.0000,29174796
2019-07-19,360.5000,378.4000,359.0200,377.3600,25904227
2019-07-12,350.4100,365.4500,347.9000,365.3300,19689311
2019-07-05,364.8800,365.2300,351.4300,355.8600,15559981
2019-06-28,372.9500,378.9800,361.5700,364.0100,23587790
2019-06-21,348.6200,379.3100,347.0500,371.8400,27379738
2019-06-14,356.0000,357.4000,342.7950,347.1600,12881535
2019-06-07,338.2000,355.2800,330.6700,353.7000,16981670
2019-05-31,355.2900,359.3100,341.3600,341.6100,13066357
2019-05-24,353.0000,361.4000,341.1500,354.9000,21776802
2019-05-17,344.5100,359.9900,337.0000,355.0200,28635000
2019-05-10,367.8800,372.4800,347.4700,354.6700,31167125
2019-05-03,378.4900,385.3000,373.2500,376.4600,17348278
2019-04-26,375.6900,384.8000,372.6100,380.7900,29771923
2019-04-18,376.7000,384.6400,373.6800,380.0700,20033439
2019-04-12,376.2000,379.9500,362.9200,379.6400,44680636
2019-04-05,385.8000,398.6600,383.1000,391.9300,37732322
2019-03-29,365.0000,382.1800,362.8900,381.4200,36635332
2019-03-22,370.0000,380.8000,361.5250,362.1700,48807816
2019-03-15,371.2700,402.6700,363.3300,378.9900,144538799
2019-03-08,443.2200,444.5000,415.5000,422.5400,21663243
2019-03-01,427.4900,446.0100,424.2500,440.6200,20570906
2019-02-22,415.5000,424.4700,414.5400,424.0500,13054333
2019-02-15,408.1000,418.0500,402.6900,417.9700,16130543
2019-02-08,388.9700,413.8800,388.1200,404.9100,26625325
2019-02-01,360.6500,392.8000,357.5000,387.4300,31541045
2019-01-25,362.8600,366.9400,353.6700,364.2000,13253232
2019-01-18,348.2000,367.3156,347.0100,364.7300,16675227
2019-01-11,330.5200,354.3600,323.3500,352.9000,21497591
2019-01-04,320.5000,328.4400,309.4000,327.0800,17004221
2018-12-28,300.6500,321.5300,292.4704,316.3800,16344989
2018-12-21,316.9100,333.4800,304.0100,304.5500,28731287
2018-12-14,321.2700,334.4900,315.5100,318.7500,16937914
2018-12-07,364.3100,369.0000,317.3000,323.2200,25591876
2018-11-30,315.5600,347.5800,310.6600,346.7600,23132208
2018-11-23,335.5500,336.0400,296.6100,312.3200,19659076
2018-11-16,370.2100,370.4800,331.1600,335.9500,20782698
2018-11-09,359.7600,373.7000,356.4800,369.3400,14083400
2018-11-02,360.5500,371.5400,328.6300,357.7500,25201970
2018-10-26,357.8500,364.6000,342.8260,359.2700,23172548
2018-10-19,359.4600,368.5700,354.2050,356.2600,14787017
2018-10-12,383.8400,386.8200,352.2600,360.1100,23996285
2018-10-05,375.1600,394.2800,375.0000,386.4700,20897262
2018-09-28,371.0000,374.2200,364.3200,371.9000,14094347
2018-09-21,359.2800,372.5650,354.5400,372.2300,21466532
2018-09-14,349.4900,362.2600,337.3100,359.8000,15802006
